feature,gain
source__spatial_knn,630.8939208984375
class_pair_Section-header__Text,403.0043029785156
center_distance_norm,295.7437744140625
width_ratio,294.64703369140625
ocr_cosine_similarity,267.23443603515625
left_class_name_Section-header,259.82928466796875
num_candidate_sources,251.08677673339844
left_class_name_Page-header,203.18504333496094
right_class_name_Text,169.65382385253906
shared_keywords,163.93690490722656
left_class_name_Text,108.50635528564453
vertical_gap_norm,101.6736831665039
left_class_name_Picture,98.84072875976562
entity_overlap,88.41405487060547
horizontal_gap_norm,86.36947631835938
abs_center_dy_norm,85.20742797851562
x_overlap_ratio,78.19792938232422
center_dy_norm,69.70294952392578
left_class_name_Caption,67.8041000366211
right_class_name_Caption,65.1692123413086
right_class_name_Section-header,55.09184646606445
global_reading_order_delta,45.155494689941406
reading_order_delta,44.50364685058594
min_yolo_confidence,44.31758499145508
column_delta,40.93909454345703
abs_center_dx_norm,40.709266662597656
right_class_name_Page-header,39.330020904541016
mean_yolo_confidence,37.63566207885742
class_pair_Text__Section-header,36.149574279785156
class_pair_Text__Text,31.36260414123535
left_y2,30.11766242980957
right_class_name_Picture,29.54415512084961
left_confidence,29.456995010375977
right_x1,27.788970947265625
y_overlap_ratio,27.4791202545166
left_y1,27.107603073120117
center_dx_norm,26.820070266723633
area_ratio,26.20924186706543
column_relation_cross_column,26.10637092590332
class_pair_Section-header__Section-header,25.82567596435547
left_x2,25.818681716918945
left_x1,25.799137115478516
right_x2,25.613853454589844
right_y1,24.88852310180664
right_confidence,24.387298583984375
right_y2,24.26200294494629
left_class_name_List-item,23.77142906188965
class_pair_Text__Table,22.825925827026367
class_pair_Picture__Picture,22.726089477539062
class_pair_Page-header__Text,22.66838836669922
abs_column_delta,21.841943740844727
class_pair_Caption__Picture,21.658769607543945
right_class_name_List-item,20.67742919921875
right_class_name_Table,20.542898178100586
left_class_name_Page-footer,19.946334838867188
height_ratio,19.255077362060547
column_relation_adjacent_column,18.911813735961914
source__global_reading_order,18.83858871459961
right_column_id,18.169281005859375
class_pair_Text__List-item,18.146705627441406
left_column_id,18.128774642944336
class_pair_Picture__Text,16.516355514526367
source__adjacent_column,14.682881355285645
class_pair_Section-header__Caption,13.9947509765625
text_similarity,13.855127334594727
class_pair_Picture__Caption,13.091394424438477
class_pair_List-item__Text,12.383182525634766
class_pair_Text__Picture,11.95340633392334
left_class_name_Table,11.133291244506836
class_pair_Section-header__Picture,10.995409965515137
class_pair_Page-footer__Text,8.012211799621582
right_class_name_Page-footer,7.923810958862305
source__reading_order,3.763101816177368
source__same_column_window,0.0
class_pair_Caption__Section-header,0.0
class_pair_Caption__Caption,0.0
class_pair_Caption__Page-footer,0.0
class_pair_Page-header__Section-header,0.0
class_pair_Page-header__Picture,0.0
class_pair_Page-header__Page-header,0.0
class_pair_Page-header__Caption,0.0
class_pair_Page-footer__Section-header,0.0
class_pair_Page-footer__Picture,0.0
class_pair_Page-footer__Page-header,0.0
class_pair_Page-footer__Page-footer,0.0
class_pair_List-item__Caption,0.0
class_pair_Page-footer__Caption,0.0
class_pair_List-item__Section-header,0.0
class_pair_List-item__Picture,0.0
class_pair_Caption__Text,0.0
class_pair_List-item__List-item,0.0
class_pair_Caption__Page-header,0.0
class_pair_Picture__List-item,0.0
class_pair_Section-header__Table,0.0
class_pair_Section-header__Page-header,0.0
class_pair_Section-header__List-item,0.0
class_pair_Section-header__Page-footer,0.0
class_pair_Picture__Page-footer,0.0
class_pair_Picture__Page-header,0.0
class_pair_Picture__Section-header,0.0
class_pair_Picture__Table,0.0
class_pair_Text__Page-footer,0.0
class_pair_Text__Caption,0.0
class_pair_Table__Text,0.0
class_pair_Table__Section-header,0.0
class_pair_Table__Caption,0.0
class_pair_Table__Picture,0.0
class_pair_Text__Page-header,0.0
column_relation_same_column,0.0
